Movie,Review
Harry Potter,"It's seem like just yesterday, when the movie about the boy whom lived, was about to come out. People were wondering if the Harry Potter's books by J.K Rowling could easily be translated into the big screen. Harry Potter and the Philosopher's Stone AKA Sorcerer's Stone directed by Chris Columbus, indeed show that it was somewhat possible. The story follows Harry Potter (Daniel Radcliffe)'s first year at Hogwarts School of Wizardry as he discovers his gift and destiny against the dark forces of magic. The movie like the other films are cut into two plots directions. One is about student life at Hogwarts during the school-year, while the other half is about the mystery that Harry Potter must uncovered that year. It works well as a long read novel, but in movie form: its means a long sit through. The movie pacing is so long. It takes forever to get to the main plot of Harry Potter finding the Philosopher Stone. There are is a lot of filler scenes that could be cut away. I dislike how the Philosopher Stone is one-time movie McGuffin. For the best of my knowledge, the Philosopher stone plays no factor after this movie, and never mention again after this film. The third act, mostly comes out of nowhere. The twist toward the end, was pretty predictable, if you readt the books, but pretty interesting. Another thing about the movie is how non-logical the movie is. It really baffled me, how much exposition, it needed. Even an hour in the film, there were a lot of random odd things happening without much explaining. It gets more confusing as long bits of the book, like the Centaur showing in the woods, were shorten in the film. It gets worst for the centaur, as he wouldn't play a factor, in any of the later films, despite, saving Harry Potter from Voldermort. Hermione Granger (Emma Watson) was also cut short. Her riddle solving in the book was cut from the film. Several minor characters have been removed from the film version, as well. Despite those, the movie is really close to the novel. In my opinion, don't bother, trying to understand the logic of all the wizard terms, because it will take you out of the fantasy movie, and give you a headache. Still, there were some really dumb things to nitpick here like why would Professor Dumbledore (Richard Harris), even allow Harry Potter to stay with the Dursley's family when he knows that they're horrible people. Honestly, the Dursleys could had killed Harry Potter with the childhood neglect! What was he thinking? Harry Potter could had commit suicide, or gone crazy like Lord Voldermort! What an idiot! The whole movie is about children being danger all the time. I don't care if they're wizards in training, I'm surprise that the death tolls of students dying isn't as high as it should be. The school staff is questionable at times. A good example of this stupidity, is punishing students whom went out at nights, by sending them out at nights in the dark forest, where they can get attacked by creatures. The most insulting thing in logic is the black/white one-dimensional view of good Vs evil. Honestly, how on earth is the members of Slytherin never got expulsion for all the bullies that it has? You would think, that at less, there would be one good person in Slytherin. Another thing that bugs me is the whole the power of love conquer all. I think, children are a lot smarter than the childish message, the film is trying to pull. The acting in the movie is pretty bland, for the most part. After all, most of the child actors had this film as their first roles. I wouldn't say that Harry Potter's film series, have the most entertaining of dialogues, anyways. The wooden delivery, felt like a read-through. Most of what they're saying are stating the obvious or repeating what happening on screen. It's so annoying. The other actors were master British thespians, who seem to over-act at times. A good example of this is John Hurt & Alan Rickman. It was too hammy for already over the top world. The action scenes were pretty well-done. My favorite had to be the Quidditch match and the whole chess game. I can do, without the whole troll scene. The CGI troll hasn't aged well. Visually, the movie is beautiful to look at. I love the special effects, locations & set, and costume, they did. It really made the Harry Potter world, stand out. The music by John Williams is amazing to listen to. I think director Chris Columbus was indeed the best choice for this first movie, as he got the magically part, right and how to make a family picture. You even see, how much things, he establish that other directors would reused time after time. Still, I really hope for Terry Gilliam like J.K Rowling's first choice to be the direction. The movie has great social commentary themes like the metaphor of racism, ethnic cleansing and why Nazism is bad. You can also see possible influences from other words, that made Harry Potter work. There was a few controversial moments leading up to the film, like religious debates. A few religious groups claim that Harry Potter contain occult or Satanic subtexts that isn't good for children. Another one is the use of the word, sorcerer over the word philosopher in the title. US & British have different meanings to the words, plus marketing though, it would better to call it sorcerer as that word get more appeal. Due to this different, all scenes that mention the philosopher's stone by name had to be reshot, once with the actors saying ""philosopher's"" and once with ""sorcerer's"". Overall: The movie might has its flaws, but majority, a great first watch for any fantasy fan."
Batman,"It's always a challenge to take material from the comic to the screen, and to make it powerful enough, and entertaining enough, without getting overly preachy with the material, getting hyper kinetic with the action, or worst of all losing your audience. The last Batman film, Batman & Robin, committed the later crime, and put a stigma on the franchise for several years. But now there is Christopher Nolan, talented director behind the cult favorite Memento, and the under-rated Insomnia remake of 2002, who has taken the origins of the Dark Knight into a different direction, or at least to a better one. His film, Batman Begins, has the power, has the entertainment, and it doesn't cheat its target audience (the die-hard Batman fans) or the general public. There isn't as much humor as the first film (this film's only tiny liability), but there is that genuine dark sensibility that can take in kids as well as adults. That the story and characters are as important as the action sequences and fights is another bonus."
Batman,"Where to begin? Unbelievably ill-conceived. That's it. A film that tries to be everything to all people, and ends up being nothing as a consequence."
Harry Potter,Initially I was against this series because the kids leave such huge messes at the cinema where I work. Then I decided to rent the first movie and give it a look to see what it is the kids love about it so much. Then it hit me: it's the story of a no talent underdog who overcomes great obstacles with a little help from his friends. And who doesn't like that?
Harry Potter,Surprisingly good. 
Star Wars,I gone to see with really less Hope since disney is doing nothing new creative they just using nostalgia as the weapon and try to please all kind of audience with this movie unlike the last Jedi well I appreciate that but there nothing new that all audience be pleased there no thrills in those light stabb fight.and Rey is seriously overpower I don't even know how she learned it so quick must be Disney magic trick that in movie need to have one overpower person .overall this is disaster.i suggest Disney Instead of using same stuff again and again try to create new .original which at least feels new this just feel overused trash let me put In garbage
Harry Potter,"Harry Potter is an average bespectacled 11 year old boy who has lived with the Dursley family ever since his parents died in a car crash. For some reason the family has always mistreated him. On his 11th birthday a giant man named Rubeus Hagrid hands him a letter telling him that he has been accepted as a student at the Hogwarts School of Witchcraft and Wizardry. Harry learns that his parents were wizards and were killed by an evil wizard Voldemort, a truth that was hidden from him all these years. He embarks for his new life as a student, gathering two good friends Ron Weasley and Hermione Granger along the way. They soon learn that something very valuable is hidden somewhere inside the school and Voldemort is very anxious to lay his hands on it."
Star Wars,"No words can describe how bad this film is. no story to tell, no characters to entertain."
Harry Potter,"I have seen both Harry Potter and Lord of the Rings during the past couple of weeks. Both have an unbelieveable amount of hype behind them, and both films are based on extremely popular fantasy book however, that's where the difference ends. Harry Potter is just hype and Lord of the Rings is what delivers. But, that's another review. Harry Potter is an eleven year old boy living in England with his irritating aunt and uncle who really don't care for him. He is wisked away to become a wizard at Hogwarts school of wizards. From there he makes a lot of friends and learns to become a wizard. He plays games on broomsticks, and fights a lot of fake looking monsters. And in the end, he meets the evil wizard who killed his parents. Now, the film isn't that bad, but it's really silly and got quite boring after a while, some of the sequences were ripped off from The Phantom Menace, (The Quidditch match, etc) Anyways, kids love it, I didn't A 3 out of 10, decent special effects, and sets, but, a bland, and unoriginal script that only children who are diehard fans of the book will enjoy. (I have not read any of the books, and this movie makes me want to stay away from them.)Wait for the hype to end and see it on video!"
Star Wars,"JJ is Hollywood's go-to guy for whoring out and regurgitating films. The fact he actually thinks he's a filmmaker is hilarious. While many would describe him as a crowd-pleaser, it's more accurate to say he has a certain vindictiveness towards the audience, and an antipathy for making creative movies. He hates the entire process and obviously takes a joyful glee in despoiling it."
Star Wars,"Greetings again from the darkness. Ending the final trilogy of trilogies that covers 42 years of storytelling, was never going to be easy. And, given the rabid fan base's backlash from the penultimate episode, the ending was unlikely to appease all (or even most?). Keeping respectful of the sensitivity associated with this franchise, no spoilers are included here, certainly nothing that hasn't already been dissected and debated after the trailers were released."
Harry Potter,"I really hadn't expected to enjoy this movie, thinking it to be primarily directed toward children, but upon viewing it I discovered it to be a wonderful flight of fancy and fantasy, whisking the viewer into an unimaginable and yet completely believable world of wizards and magic, trolls and goblins."
Star Wars,"The Rise of Skywalker is by far the worst Star Wars film. In this film they completely destroyed the character of Finn, making him very unimportant."
Star Wars,"Don't believe either the 1 Star reviews or the 10 Star review, both are nonsense."
Harry Potter,My review of this film may be a little blinded by the fact that i hate kids films but that apart i can see why kids would like this film. The story is very good as are the special affects and there is a very good cast of actors. The shame is that the lead star is the poorest of all the actors including all the other child actors. It's ok to have the Harry Potter look but it does help have the acting abilty too and i'm afraid Daniel Radcliffe does not have it. Robbie Coltrane and Richard Harris are superb . I have not seen read the book (im one of the few!)so i have an unbiased point regarding the comparison but i can see how the book would have some appeal if it is anything like the film. All in all not bad but not my cup of tea. 7 out of 10.
Star Wars,"The good:
Cinematography
Music"
Star Wars,"Words cannot describe the disgust that is this film. JJ Abrams did a standard job, worse than anything anybody could do/ever has done. Cheap cast, cartoonish so-called action, cheap effects for the sake of effects, not a single pretty cute girl men want to look at."
Star Wars,"The good news: finally the story of the Skywalkers is done and finished for good. The bad news: all in all Mr. Lucas should have left the original triology (Ep. IV-VI) alone: everything added ist just more or less bad with some nice explosions and CGI, terrible and incoherent storylines, boring characters, and last but not least an excellent example of redundance."
Harry Potter,I've read the first Harry Potter book and I greatly enjoyed it.  (As an aside I'm also a conservative fundamentalist Christian who does not think that Harry Potter is recruiting tool for Satan).
Batman,"The fantastic film ""Batman Begins"" provides a fresh look at the renowned character's past. The acting is superb, with Christian Bale delivering an enthralling and nuanced portrayal as Bruce Wayne/Batman. In this masterfully written story, the psychological makeup of the individuals is extensively and compellingly handled, as are the concepts of dread, justice, and atonement. The action scenes are fast-paced and well-choreographed, and the direction, photography, and special effects are all excellent. Among the notable performances by the supporting cast are Liam Neeson and Gary Oldman. This film seamlessly integrates the other films in the series. Finally, ""Batman Begins"" is a must-see for fans of the Batman persona as well as everyone searching for an intense and superbly produced cinematic experience."
Star Wars,"Does this even qualify as a movie? Yes, the images move at twenty-four frames a second, but as a story, this is the biggest mess I have ever seen, a mishmash of Macguffins, convenient idiocy to move the plot along, and new flashy Force powers to comb away problems when they arise and the writer cannot come up with a more clever resolution. All the actors seem checked out and I cannot blame them: it's like every movie in this misbegotten trilogy, rather than building on the movie before it, just wants to press the reset button over and over. How can you play a character that way?"
Harry Potter,"With every major franchise, trilogy, etc. everything must start somewhere, and to most people the first two installments in the Harry Potter franchise always seem to have negative reviews. I don't blame them, some things feel a little out of order and some things are dated but nevertheless Harry Potter and the Philosophers Stone makes for a true fun and entertaining film unlike most."
Harry Potter,"Much like the film in said title, Harry Potter and the Sorcerer's Stone seems to essentially be a nice kind of kiddy escapism flick into the world of magic, but like The Wizard of Oz, it still manages to be surprisingly touchy in a profoundly humanistic kind of way despite its far fetched story. "
Star Wars,This was a boring film. The Mary Sue is still there being a Mary Sue and defying the rules of the force. They also shoehorn a forced relationship.
Batman,"After the bitter disappointment (understatement, I know) of Batman and Robin, something special was needed to prove that Batman could still be a viable movie series. This is the film that not only proves it, but puts would be pretenders such as Spiderman and X-Men in the shade with a superb piece of film-making that puts script and characters above action sequences (although there are plenty of those too). What is so satisfying about the movie is that while Christopher Nolan is undoubtedly putting his own statement on the character, he has also reverted more to the style of the first Batman movie of 1989, by making the universe are characters inhabit a plausible and real one, even in the presence of bat-caves, gadgets and over the top villains. The city of Gotham doesn't look like the neon lit cartoon world of the Joel Schumacher years, instead looking like a real world, one that could exist. It is these types of choices that make the film a joy."
Harry Potter,"'Harry Potter and the Sorcerer's Stone' is one of the most entertaining films I know. You can look at it and not worry about anything because you know it will all be alright. Very true to the book it reaches the same level. Daniel Radcliffe is the perfect Harry Potter, Emma Watson a great Hermione and Rupert Grint a very funny Ron Weasly. With the famous story, a great direction from 'Home Alone'-director Chris Columbus, a perfect casting and some nice special effects this is the way a movie like this has to be. Be entertained by the world of the wizards."
Batman,"I was lucky enough to have seen the premiere of the movie on Monday evening and I was very impressed. This is easily the best Batman movie I have ever seen. This movie completely disregards the previous 4 Batman movies and begins its own franchise. The scenes are dark and foreboding, as is Batman himself. This film makes the previous 4 Batman films look as campy as the old TV show. There are no wild costumes or over-the-top freak characters. Scarecrow's costume consists of nothing more than a burlap sack yet it is more effective than the ridiculous outfits worn by Mr. Freeze or The Riddler in the last two terrible Batman movies."
Star Wars,"I don't think anyone would be surprised by now that The Force Awakens was basically A New Hope Remastered with pretty much nothing added to compensate. And, given that The Last Jedi was directed by someone who clearly enjoyed the Holiday Special - JarJar was left with no options. The new emperor(Snoke) is dead, he can't copy The Empire Strikes Back, and thus not The Return of the Jedi, but then JarJar thought... But what if he actually DID copy The Return of the Jedi? But how? Luckily, the expanded universe gave him an answer."
Harry Potter,Adaptation of J.K. Rowling's very popular book is as good an adaptation as possible...but it doesn't completely work.
Harry Potter,Today I watched Harry Potter and the Sorcerer's Stone (2001) for the first time in nearly ten years!!!! I felt the same exact nostalgia as I did when i very first saw it! This film adaptation of J.K. Rowling's novel is VERY accurate! Nearly every scene and every line from the novel is in this movie! If you're one who LOVES film adaptations of books then Harry Potter and the Sorcerer's Stone is definitely for you!!! As well as the 7 sequels of the film series are also very accurate to the books. Give this magical movie a watch!!!.
Harry Potter,"Now pay attention students (You thought I was going to say ""007"" then, didn't you?), lets get this straight...HARRY POTTER AND THE SORCERER'S STONE (PHILOSOPHER'S STONE in just about every country but the US) is NOT a great movie. The most expensive to date maybe, certainly hyped and marketed into the stratosphere, but despite many redeeming features which I will get to later, it remains curiously ordinary!"
Harry Potter,"There were many plot changes to accommodate the adaptation of this literary work to film. But what bothered me more were the obvious comparisons to the 1986 TV movie ""The Worst Witch,"" in which many of the main characters of this work seem to have appeared. "
Star Wars,In 2015 JJ Abrams had the daunting but almost impossible task to come up with a new Star Wars movie that would not only entertain the critical old fans but also satisfy the new ones. His trick? He introduced new characters and made a remake of A New Hope. For me that worked fine.
Harry Potter,"You know what?  I'm getting sick of reading comments by people who are tearing this movie apart, saying it twists mythology, it is unimaginative, it is done simply for cold cash, etc..  Well, a lot of these people are the same ones who will go see the same action movie over and over again, despite the lack of plot and talent.  Hollywood just does not make good family movies anymore that are not animated, and I think that is very well done. The child actors are wonderful and have great timing for actors of their age.  Just enjoy it!"
Star Wars,"What a waste of resources. This subject- less, inept and low quality movie drags on for few hours, with total lack of fantasy, from stupid names of ""Organa"" to ""Kylo Ren"", with no new action but for years and years with the same "" Boooooring stupidities"" I wonder for whom are created this kind of garbage ?
Even a 4 year old kid would make something better.
And this is supposed to be the great Hollywood creation !
SHAME ON YOU Producers ! Shame for the money spend and for the constant
abuse of our conscience of spectators !"
Batman,"It's not merely the best Batman movie, it's quite possibly the best comic-book movie ever crafted. Seeing it on the big screen last night was a thrill, the kind of thrill provided by the original ""Star Wars"" or ""Raiders."" "
Batman,"There are not too many surprises in BATMAN BEGINS in terms of plot -- after all this time, let's face it: We know how things will turn out for the Caped Crusader. No, the real surprises are in the style of the film, which Christopher Nolan adapts from a whiz-bang comic to a modern era. He takes his time developing the familiar story about how billionaire playboy Bruce Wayne (a ripped Christian Bale; his biceps are the size of cocker spaniels) goes from orphan to avenging angel with the help of a mysterious mentor (Liam Neeson). Batman's skills, we learn, are those of the Ninja, and Gotham City exists in a world of its own, neither present-day New York nor some retro-fitted '30s idealized set. The cast is exceptional, the sound design spectacular (although the editing gets a little frantic and confused). It owes more to Alec Baldwin's THE SHADOW in its mythologizing and mystical treatment of the hero, who here is at the center of the action, not peripheral to the villains. In fact, this is probably the Batman movie Tim Burton wishes he'd made: Brooding, contemplative, paced like a novel. Holy prequels, Batman! (c) AWJ"
Batman,Batman redone. It gives us a new origin of Batman (Christian Bale) and how he got his powers and such. He still plays playboy Bruce Wayne while fighting evil as Batman. His first two villains are the Scarecrow (Cillain Murphy) who produces intense fear in his victim with a gas and Ra's Al Ghul--who trained Batman and knows ALL his weaknesses.
Star Wars,"Perfect ending, perfect fights, perfect space battles, great story, everything you have been waiting for in last two you get times 10"
Star Wars,"To my mind this is the poorest Star Wars film of the whole Skywalker saga. Yes, even worse than The Phantom Menace and The Last Jedi. This movie has no heart. It's a messy CGI snoozefest. The only bit of nostalgic feel good factor comes at the end of the movie, but we've had to sit through so many McGuffin's and plot contrivances by then that nobody cares. I love Carrie Fisher and mourn her passing but the re-utilised footage is distracting and doesn't really work. Also the whole ""they're dead..no they're not dead"" thing is overused and leads to a low stakes story. How much more moving & dramatic it would have been to say goodbye to Chewie and C3PO but this film is too safe to go there. The whole Palpatine thing is boring & riddled with plot holes. The film fails to hold interest and is a hugely disappointing end to the saga."
Harry Potter,"During my childhood, the earlier Harry Potter books got me into the franchise and especially Fantasy Literature in general. They had thought provoking writing, likeable characters, and compelling world building. Then I saw this movie adaptation of The Sorcerer's Stone (The Philosopher's Stone in the UK) back in theaters and loved it. It's not a perfect film I'll admit, but it's a very good start to a successful fantasy movie franchise."
Star Wars,I had no preconceived ideas about this film. I hadn't seen any reviews or spoken to anyone who had seen it.
Harry Potter,"Sorcerer stone is a pretty good film which introduces us with harry potter and his friends. Just like the kids in Hogwarts, audience are also in awe with the magic. But I felt that this lacked a story which is only revealed towards end. But still this is my second most favorite harry potter film after chamber of secrets."
Harry Potter,"Dropped with his aunt and uncle as a baby, Harry grows up in a loveless home and is made to sleep under the stairs.  On his 11th birthday Harry learns the truth of his past when he is visited by Rubeus Hagrid and invited to attend Hogwart's school for wizards and witches.  Whilst learning his craft Harry and his friends notice some strange things and begin to investigate, leading them deeper into a mystery that involves a dark wizard who killed Harry's parents and a quest for a powerful stone that brings immortality."
Harry Potter,"I'm in a rather embarrassing position when it comes to the world of Harry Potter. I'd never heard of the books, much less read any until the films came out. Shows how unaffected I was by the whole Potter phenomenon. JK Rowling's tales of a boy wizard at a magic school is one of the most amazing things to hit the world of children's fiction since Roald Dahl was alive and kicking."
Batman,"A lot could have gotten wrong when making another adaptation of the ""Batman"" story. Considering all the 90s movies with Val Kilmer and George Clooney everything was already said and done. But director Christopher Nolan took a bold brush and showed us darker shades of grey with a compelling visual experience, fine acting and a dark twist of the Batman origin."
Batman,"For those of you who were disappointed with the last few Batman movies, 'Batman Begins' redeems the caped crusader in a big way. 'Batman Begins' takes us on a journey through Bruce Wayne's tragic past again, giving us a real insight into what drives and fuels his quest against suffering and injustice. We discover how the billionaire came to be trained in the martial arts, develop his alter ego, and acquire his technological arsenal. Christian Bale gives us a riveting performance as not only a very dark hero, but also a tortured soul looking for the means to combat the wrongs of society, a society that we see is also responsible for the death of his beloved parents. Another thing we notice from the beginning is this story does not tie into that of the other movies in the series. This is however not a disappointing feature, in fact it seems to breathe new life into this timeless classic. So for all of us who have followed the Dark Knight's journey's, strap yourself in for a wild and inspiring ride."
Star Wars,"You probably read this before, but Palpatine is alive. How he survivived? Who cares."
Harry Potter,"I have not read any Harry Potter books.  Be that as it may, when the glowing reviews started to come in for this film I decided to take a look at it.  I cannot comment on the translation from book to film or the quality of Rowling's books but the film of the very first novel is quite horrible.  I tried to like it, but I found it excruciating to watch.  It took me no where and, even worse, it really didn't have much of a plot.  The thin shreds of plot were introduced 1 hour and 45 minutes into the film.  The first part of the film was obviously conceived to give a background to the viewer of the Potter world.  Unfortunately there was little to grip me here and I found most of it to be grossly out of place.  What the heck does a game of ""Quidditch"" have to do with the story?  It, and many other things, were just eye candy.  The characters were stale and seemed like rejects from a Roald Dahl story (see James and the Giant Peach).  I'm flabbergasted that such a piece of junk has attracted so many adamant fans.  No wonder kids don't know how to read or write very well anymore.  No wonder Britney Spears and N'Sync are so possible.  The piece of trash that is Harry Potter explains it all - the current generation will cling to anything as long as they don't have to think for themselves.  'Tis a pity."
Star Wars,"The ""Force Awakens"" played it very safely and for the most part did it well enough to please most people, ""Last Jedi"" took some huge chances(that didn't pay off) and experimented, which left people divided.. This is just stupid, very very stupid!"
Star Wars,"For those who didn't like Rian Johnson's deconstructionist's approach w/The Last Jedi, good news. Rise of Skywalker does not continue that tack. For those who were hoping that JJ Abrams would be able to take the disjointed and seemingly rudderless story so far and bring it all together, bad news. He doesn't. Not even close."
Harry Potter,"There is a classic early 90's ""Far Side"" cartoon of 3 people standing in an otherwise empty room with a banner hanging overhead painted with the letters, 'DLDWWS,' which stands for ""Didn't Like Dances With Wolves Society."" Gary Larson really captured a phenomenon of what I'd call the 'societal embrace.' People look for things to identify with to make them feel like they're a part of mass culture. Enough people give this product their stamp of approval that it nearly becomes propaganda. No person can escape at least making a decision about that product. People are more likely to decide something's good if someone else tells them it's good, even though they would have felt indifferent otherwise. This cultural phenomenon has happened many times, including this year. In late 2001 and early 2002, there was no escape from Harry Potter. (pronounced 'Paw-TUH' because I've rarely heard it said otherwise. Hogwarts, Middle Earth, Ridley Scott, James Bond, Austin Powers, Shrek-talking like a stuffy brit is definitely cool again.)"
Batman,"If there's one superhero figure out there who has been tossed around and re-imagined just as much as ever-so bloated Superman it's his fellow DC Comics star Batman. From his original dark conception in the forties on paper, to his campy popularity surge in the sixties with Adam West, the bat-man is a figure that has been a consistently present in American pop culture. As is usually the case with franchises however, such popularity usually gets the better of the product, quality declines and years will go by with little to no interest in what was once in such demand. Such has been the case with Batman, and up until 2005, the superhero had been on the backburner for a good eight years. Enter Batman Begins, Christopher Nolan's much anticipated re-imagining of countless other re-imaginings, and from the opening scene it's evident that Batman may just finally be getting the respect he deserves as a formidable and mature superhero; his audiences have grown older and so has he. By no means is the movie the classic it could have been, but it's a fine effort nevertheless and delivers a compelling and welcome look back at how it all began for the dark knight."
Batman,"I was first introduced to ""Batman"" when I saw the Tim Burton film in 1997. I immediately loved the hero; he became my favorite because Batman, like Indiana Jones, represents the real heroes of today, the ones without superpowers who are just as human as you and I."
Harry Potter,"Undoubtedly targeted at a very young audience, there's a certain degree of magic dancing around this picture that makes it easily-accessible to adults as well. Although my own childhood was long gone by the time this hit theaters, watching it today was like leaping back through time to an age filled with innocence and wonder. That effect does occasionally get lathered on a bit thick, but a speedy pace and densely populated realm are usually enough to compensate for such moments. JK Rowling's rich, sprawling, imaginative world is downright hypnotizing on the screen, loaded with treats and treasures, and it's tough to look away for even an instant. Although the CGI work is distractingly bad in a few instances (it very nearly ruins the Quidditch match), the child actors are average at best and there isn't much adversity to our heroes' hunt for the MacGuffin Stone, it's still a cheery, entertaining introduction to a universe that's positively buzzing with potential."
Batman,"This was the leading film in the summer of unnecessary and instantly forgettable remakes - Herbie, Charlie and the Chocolate Factory, Bewitched, and I'll stop here before I even get to the wretched horror of The Dukes of Hazzard. And Hollywood wonders why ticket sales are low and they can't make as much money? I realize the fans and critics felt this installment took the legend seriously but sorry comic geeks. A man dressed up as a bat is something that could never be taken completely seriously without a touch of camp. That's why Burton nailed the task of dark with just the right amount of campiness. As for this film, it's neither a sequel or a prequel. Good actors with the exemption of casting mistake, Katie Holmes, good director but other than utterly unnecessary retread of the origin story. Batman has already been reinvented twice and now a third. I will give props to Christian Bale but still not up to par with the likes of Michael Keaton. And Jack Nicholson's performance that was fascinating and brilliant at the same time? That's an impossible act to follow. The villain in this film was neither scary or interesting. Boring and instantly forgettable is more like it. It's no wonder moviegoers are left in such a catatonic state from Hollywood's desperate attempts at creativity. How many times can you reinvent the same franchise? A far more interesting installment should've been BATMAN ENDS."
